num_arestas,peso_arestas,mods,dupla,clust,escola_publica,formacao_exatas,gen_aluno_f,gen_prof_f
90,21.516144421148066,0.11832088480321745,1,1,FALSE,FALSE,FALSE,TRUE
76,15.688170876545831,0.10329861111111116,2,1,FALSE,TRUE,FALSE,FALSE
52,10.505309991253505,0.19072664359861602,3,2,FALSE,TRUE,TRUE,FALSE
62,13.402956773165162,0.19224243566782925,4,2,FALSE,FALSE,TRUE,TRUE
86,19.864947537367986,0.1323325297684271,5,1,TRUE,TRUE,FALSE,FALSE
70,13.935899887960053,0.19734690844233058,6,1,TRUE,FALSE,TRUE,TRUE
72,17.740574994777386,0.1784119897959184,7,1,TRUE,FALSE,TRUE,FALSE
80,17.69783355260314,0.1426977040816327,8,1,TRUE,TRUE,TRUE,FALSE
102,21.927877243601614,0.15483473338203077,9,1,TRUE,FALSE,FALSE,FALSE
48,10.1177438140548,0.28172831632653067,10,2,TRUE,FALSE,FALSE,FALSE
114,29.46830662631945,0.011969493679824916,11,1,TRUE,FALSE,FALSE,FALSE
96,22.72198808916823,0.05538408779149526,12,1,TRUE,FALSE,FALSE,TRUE
108,27.634444495999112,0.07328414656829316,14,1,FALSE,FALSE,FALSE,FALSE
116,29.54672205180202,0.06671864557807966,15,1,TRUE,TRUE,FALSE,TRUE
40,7.715790381611315,0.27410207939508513,16,2,FALSE,FALSE,FALSE,TRUE
94,20.501387372442785,0.12195199999999998,17,1,TRUE,TRUE,FALSE,TRUE
82,17.795433041241214,0.11312585733882038,18,1,FALSE,FALSE,TRUE,FALSE
38,7.526476102393722,0.3060703873386089,19,2,TRUE,TRUE,TRUE,FALSE
86,18.81519767584175,0.14670115560333233,20,1,FALSE,TRUE,TRUE,FALSE
120,31.18981270222029,0.027528055056110085,21,1,FALSE,TRUE,FALSE,FALSE
90,19.984909272030883,0.14120528241056482,22,1,TRUE,FALSE,TRUE,FALSE
98,22.305910986535803,0.1048061914672217,23,1,TRUE,FALSE,FALSE,TRUE
76,19.38260085865964,0.12745098039215685,24,1,FALSE,FALSE,TRUE,TRUE
74,15.958635136578648,0.12995,25,1,FALSE,FALSE,TRUE,FALSE
