Subject;Baseline_ini;Baseline_fim;Independent_ini;Independent_fim;Presenting_ini;Presenting_fim;Activities_ini;Activities_fim
1;1;620;621;3621;5040;8040;8041;14041
2;1;780;781;3781;3930;6930;6931;12931
3;1;650;651;3651;4100;7100;7101;13101
4;1;600;601;3601;3790;6790;6791;12791
5;1;610;611;3611;3780;6780;6781;12781
6;1;720;721;3721;3740;6740;6741;12741
7;1;620;621;3621;3880;6880;6881;12881
8;1;780;781;3781;3870;6870;6871;12871
9;1;570;571;3571;3680;6680;6681;12681
10;1;630;631;3631;3690;6690;6691;12691
11;1;660;661;3661;3800;6800;6801;12801
12;1;700;701;3701;4180;7180;7181;13181
14;1;670;671;3671;4210;7210;7211;13211
15;1;700;701;3701;3980;6980;6981;12981
16;1;600;601;3601;3790;6790;6791;12791
17;1;680;681;3681;3740;6740;6741;12741
18;1;600;601;3601;3930;6930;6931;12931
19;1;760;761;3761;3850;6850;6851;12851
20;1;600;601;3601;3700;6700;6701;12701
21;1;600;601;3601;3710;6710;6711;12711
22;1;890;891;3891;3950;6950;6951;12951
23;1;610;611;3611;3650;6650;6651;12651
24;1;610;611;3611;3750;6750;6751;12751
25;1;600;601;3601;4200;7200;7201;13201
